COUNTRY,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,470839745,6040.63515376302,12172274,156.164102556031,1244012,6092933,78.1692405115944,43353,0.556197004611598,14865
United States of America,Americas,79015226,23871.478,221310,66.86,8391,964473,291.379,3770,1.139,78
India,South-East Asia,43010971,3116.727,14909,1.08,1581,516543,37.431,569,0.041,33
Brazil,Americas,29630484,13939.859,261708,123.122,13218,657205,309.186,2127,1.001,103
France,Europe,23442023,36042.826,617343,949.184,24179,137929,212.07,782,1.202,152
The United Kingdom,Europe,20319438,29931.704,546407,804.889,48438,163679,241.109,407,0.6,5
Germany,Europe,18994411,22838.959,1561794,1877.908,222080,127193,152.937,1320,1.587,264
Russian Federation,Europe,17637795,12086.107,224876,154.094,26394,365373,250.368,3471,2.378,472
Turkey,Europe,14707959,17439.082,132781,157.437,14933,97347,115.423,727,0.862,80
Italy,Europe,13895188,23297.856,492283,825.404,33445,157904,264.755,907,1.521,119
Spain,Europe,11378784,24040.05,121170,255.997,15931,102053,215.608,522,1.103,67
Republic of Korea,Western Pacific,9936540,19381.116,2708006,5281.937,353980,13141,25.631,2253,4.394,384
Argentina,Americas,9011367,19938.517,35288,78.078,3614,127599,282.325,342,0.757,105
Viet Nam,Western Pacific,8089761,8310.95,1712323,1759.141,131713,41949,43.096,472,0.485,69
Netherlands,Europe,7543318,43333.512,326182,1873.792,31883,21796,125.21,83,0.477,3
Iran (Islamic Republic of),Eastern Mediterranean,7142289,8503.439,15383,18.315,1256,139662,166.278,599,0.713,52
Japan,Western Pacific,6131791,4848.168,323549,255.818,27701,27176,21.487,914,0.723,131
Colombia,Americas,6081131,11951.229,4312,8.474,542,139452,274.065,155,0.305,18
Indonesia,South-East Asia,5974646,2184.325,60114,21.978,7464,154062,56.325,1317,0.481,170
Poland,Europe,5905463,15557.831,68791,181.229,10159,114355,301.266,733,1.931,134
Mexico,Americas,5634829,4370.363,26984,20.929,901,322092,249.814,977,0.758,20
Ukraine,Europe,4941207,11298.382,28679,65.576,4442,107660,246.171,391,0.894,63
Malaysia,Western Pacific,4010952,12392.486,165351,510.879,17828,34463,106.479,564,1.743,63
Israel,Europe,3789629,43782.694,62426,721.226,14460,10431,120.512,15,0.173,0
Australia,Western Pacific,3756949,14733.2,544479,2135.221,39755,5736,22.494,145,0.569,6
Czechia,Europe,3750636,35072.54,53621,501.415,10423,39418,368.601,157,1.468,20
Belgium,Europe,3728945,32362.46,52950,459.538,10,30575,265.352,94,0.816,6
South Africa,Africa,3704784,6246.612,9609,16.202,566,99890,168.424,165,0.278,9
Philippines,Western Pacific,3674694,3353.402,3401,3.104,415,58276,53.181,651,0.594,13
Peru,Americas,3541397,10740.667,4901,14.864,604,211865,642.563,319,0.967,51
Austria,Europe,3538285,39751.259,318394,3577.033,31885,14741,165.609,163,1.831,39
Portugal,Europe,3413013,33149.215,0,0,0,21342,207.286,0,0,0
Chile,Americas,3401145,17791.95,87903,459.835,8167,55965,292.762,11960,62.565,11447
Thailand,South-East Asia,3398792,4869.331,172095,246.555,21382,24417,34.981,569,0.815,83
Canada,Americas,3397593,9002.117,27764,73.562,1680,37169,98.481,215,0.57,3
Switzerland,Europe,3314489,38297.346,138466,1599.909,22,12875,148.765,44,0.508,0
Denmark,Europe,3010128,51695.87,51631,886.71,5221,5430,93.255,234,4.019,28
Romania,Europe,2818275,14580.675,24194,125.17,2236,64697,334.717,316,1.635,12
Greece,Europe,2812182,26236.553,153886,1435.696,23528,26995,251.853,360,3.359,58
Sweden,Europe,2475687,23971.587,6242,60.44,0,18053,174.804,33,0.32,0
Iraq,Eastern Mediterranean,2316306,5758.733,2936,7.299,262,25131,62.48,26,0.065,2
Serbia,Europe,1957450,28259.468,14723,212.554,2170,15696,226.601,92,1.328,9
Bangladesh,South-East Asia,1950725,1184.487,783,0.475,0,29117,17.68,5,0.003,0
Hungary,Europe,1831423,18746.283,17061,174.635,1495,45143,462.08,490,5.016,48
Jordan,Eastern Mediterranean,1689314,16556.815,9135,89.531,0,14003,137.242,44,0.431,0
Slovakia,Europe,1646446,30166.44,60306,1104.936,8937,19161,351.071,182,3.335,28
Georgia,Europe,1643295,41193.856,5604,140.48,1053,16678,418.081,93,2.331,7
Pakistan,Eastern Mediterranean,1522191,689.11,3037,1.375,303,30331,13.731,22,0.01,2
Kazakhstan,Europe,1393492,7421.387,510,2.716,36,19005,101.216,10,0.053,1
Ireland,Europe,1390177,28002.695,36473,734.685,4024,6664,134.235,40,0.806,8
Norway,Europe,1379464,25699.924,24815,462.313,295,2169,40.409,0,0,0
Morocco,Eastern Mediterranean,1162539,3149.611,414,1.122,42,16052,43.489,9,0.024,0
Bulgaria,Europe,1126146,16200.085,11014,158.441,1960,36330,522.622,168,2.417,48
Lebanon,Eastern Mediterranean,1088595,15949.07,3363,49.272,399,10252,150.203,41,0.601,4
Croatia,Europe,1084304,26719.071,10777,265.563,292,15451,380.739,97,2.39,16
Cuba,Americas,1082201,9554.495,4796,42.343,729,8507,75.106,4,0.035,1
Tunisia,Eastern Mediterranean,1029762,8713.048,166,1.405,0,28065,237.464,3,0.025,0
Singapore,Western Pacific,1022555,17478.551,74077,1266.199,7538,1208,20.648,55,0.94,10
Lithuania,Europe,997690,35707.153,28486,1019.509,3620,8751,313.197,87,3.114,11
Nepal,South-East Asia,978231,3357.372,187,0.642,35,11951,41.017,1,0.003,1
Belarus,Europe,951758,10072.237,9424,99.732,677,6727,71.19,57,0.603,5
Slovenia,Europe,937936,44751.823,18954,904.354,1073,7321,349.308,14,0.668,0
Mongolia,Western Pacific,917213,27978.397,1184,36.116,0,2108,64.302,3,0.092,0
Bolivia (Plurinational State of),Americas,899787,7708.262,1817,15.566,0,21483,184.04,8,0.069,0
United Arab Emirates,Eastern Mediterranean,888070,8979.109,2367,23.932,338,2302,23.275,0,0,0
Uruguay,Americas,875313,25198.072,10937,314.849,909,7138,205.485,43,1.238,4
Ecuador,Americas,853850,4839.582,4464,25.302,0,35410,200.702,63,0.357,0
China,Western Pacific,853255,57.994,75631,5.14,6959,11610,0.789,1842,0.125,223
Costa Rica,Americas,829400,16281.523,4696,92.185,0,8226,161.48,48,0.942,0
Guatemala,Americas,816136,4555.457,11106,61.991,360,17238,96.218,85,0.474,7
Finland,Europe,812224,14700.11,34394,622.483,207,2881,52.142,1,0.018,0
Azerbaijan,Europe,791511,7806.464,691,6.815,29,9659,95.264,41,0.404,3
Latvia,Europe,772390,40488.553,27957,1465.501,1352,5499,288.257,70,3.669,3
Panama,Americas,761508,17648.879,1872,43.386,193,8156,189.025,19,0.44,0
Saudi Arabia,Eastern Mediterranean,749730,2153.538,815,2.341,133,9030,25.938,10,0.029,2
Sri Lanka,South-East Asia,658493,3075.166,1679,7.841,0,16436,76.756,21,0.098,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,654954,12838.676,886,17.368,0,5641,110.577,19,0.372,0
Paraguay,Americas,647099,9072.493,1216,17.049,131,18586,260.58,48,0.673,9
Kuwait,Eastern Mediterranean,627584,14695.552,1470,34.422,242,2553,59.781,1,0.023,0
Myanmar,South-East Asia,609288,1119.813,2378,4.371,0,19425,35.701,11,0.02,0
Dominican Republic,Americas,577354,5322.26,656,6.047,16,4375,40.33,1,0.009,0
Bahrain,Eastern Mediterranean,545761,32073.873,6967,409.444,910,1465,86.097,2,0.118,0
Estonia,Europe,545057,41013.306,10269,772.7,2004,2399,180.515,32,2.408,2
Venezuela (Bolivarian Republic of),Americas,519670,1827.511,1260,4.431,112,5668,19.933,10,0.035,1
New Zealand,Western Pacific,517495,10731.439,119157,2470.992,20941,163,3.38,46,0.954,0
Republic of Moldova,Europe,510973,12666.775,2395,59.371,273,11392,282.402,35,0.868,3
Libya,Eastern Mediterranean,501135,7293.17,831,12.094,120,6377,92.806,27,0.393,3
Egypt,Eastern Mediterranean,500889,489.463,5516,5.39,0,24361,23.805,84,0.082,0
Puerto Rico,Americas,477750,16699.565,1648,57.605,129,4154,145.201,4,0.14,0
Ethiopia,Africa,469469,408.363,247,0.215,14,7489,6.514,3,0.003,0
Armenia,Europe,422354,14253.144,278,9.382,26,8601,290.257,22,0.742,3
Honduras,Americas,418300,4223.287,1571,15.861,0,10857,109.616,23,0.232,0
Oman,Eastern Mediterranean,387627,7590.667,981,19.21,122,4250,83.225,0,0,0
Cyprus,Europe,382642,43090.073,25858,2911.921,5286,915,103.04,8,0.901,1
Bosnia and Herzegovina,Europe,374276,11408.019,917,27.95,75,15677,477.839,42,1.28,7
Qatar,Eastern Mediterranean,360109,12499.215,850,29.503,153,677,23.498,0,0,0
Kenya,Africa,323289,601.23,94,0.175,8,5647,10.502,1,0.002,0
Réunion,Africa,318695,35595.971,0,0,0,689,76.956,0,0,0
Zambia,Africa,315892,1718.303,690,3.753,0,3963,21.557,3,0.016,0
North Macedonia,Europe,303418,14563.738,1834,88.03,64,9184,440.822,20,0.96,2
Albania,Europe,273110,9490.236,421,14.629,22,3488,121.204,3,0.104,1
Algeria,Africa,265562,605.6,105,0.239,12,6872,15.671,6,0.014,1
Botswana,Africa,263950,11224.144,0,0,0,2619,111.37,0,0,0
Nigeria,Africa,255103,123.753,114,0.055,0,3142,1.524,0,0,0
Zimbabwe,Africa,244519,1645.161,1610,10.832,0,5427,36.514,11,0.074,0
Uzbekistan,Europe,237520,709.667,239,0.714,12,1637,4.891,0,0,0
Montenegro,Europe,232244,36977.878,630,100.309,55,2696,429.257,3,0.478,0
Kosovo[1],Europe,227107,12647.508,255,14.201,26,3117,173.585,1,0.056,0
Mozambique,Africa,225211,720.55,32,0.102,1,2200,7.039,2,0.006,0
Luxembourg,Europe,201718,32217.764,7779,1242.437,273,1015,162.113,9,1.437,2
Kyrgyzstan,Europe,200826,3078.175,68,1.042,8,2981,45.691,7,0.107,1
Mauritius,Africa,192558,15140.969,0,0,0,934,73.441,0,0,0
Afghanistan,Eastern Mediterranean,177191,455.172,782,2.009,75,7654,19.662,9,0.023,0
Maldives,South-East Asia,174658,32311.523,0,0,0,297,54.945,0,0,0
Iceland,Europe,173396,47618.734,10365,2846.48,1400,91,24.991,8,2.197,0
Uganda,Africa,163689,357.861,92,0.201,43,3595,7.859,3,0.007,0
El Salvador,Americas,161052,2482.993,4688,72.276,0,4113,63.412,12,0.185,4
Ghana,Africa,160863,517.695,147,0.473,44,1445,4.65,0,0,0
Namibia,Africa,157503,6198.697,54,2.125,0,4014,157.975,0,0,0
Lao People's Democratic Republic,Western Pacific,154094,2117.968,7407,101.807,1137,649,8.92,7,0.096,4
Martinique,Americas,138039,36784.406,6669,1777.144,0,909,242.229,5,1.332,0
Trinidad and Tobago,Americas,135097,9653.316,2164,154.628,219,3712,265.24,28,2.001,4
Cambodia,Western Pacific,135085,807.975,872,5.216,99,3052,18.255,5,0.03,1
Guadeloupe,Americas,132359,33079.495,4006,1001.19,0,928,231.928,4,1,0
Rwanda,Africa,129658,1001.049,56,0.432,11,1459,11.264,0,0,0
Jamaica,Americas,128565,4341.7,165,5.572,26,2869,96.887,19,0.642,2
Brunei Darussalam,Western Pacific,126109,28826.298,11738,2683.1,1393,140,32.002,21,4.8,3
Cameroon,Africa,119414,449.84,92,0.347,0,1926,7.255,0,0,0
Angola,Africa,99010,301.251,79,0.24,0,1900,5.781,0,0,0
Democratic Republic of the Congo,Africa,86509,96.592,134,0.15,48,1335,1.491,0,0,0
Senegal,Africa,85831,512.61,25,0.149,4,1964,11.73,0,0,0
Malawi,Africa,85563,447.272,59,0.308,2,2626,13.727,3,0.016,0
Côte d’Ivoire,Africa,81667,309.599,69,0.262,12,796,3.018,0,0,0
Suriname,Americas,78946,13457.5,183,31.195,18,1323,225.525,2,0.341,0
French Guiana,Americas,78326,26223.877,178,59.595,0,394,131.913,0,0,0
Malta,Europe,74766,14529.971,1768,343.592,251,624,121.268,9,1.749,2
French Polynesia,Western Pacific,71673,25514.759,847,301.522,204,646,229.969,1,0.356,1
Eswatini,Africa,69563,5995.963,104,8.964,11,1392,119.983,0,0,0
Fiji,Western Pacific,64327,7175.789,246,27.442,18,834,93.034,0,0,0
Madagascar,Africa,63928,230.862,58,0.209,0,1380,4.984,3,0.011,0
Guyana,Americas,63194,8034.307,50,6.357,11,1226,155.87,2,0.254,0
Sudan,Eastern Mediterranean,61853,141.058,138,0.315,11,4898,11.17,24,0.055,1
New Caledonia,Western Pacific,60113,21055.489,555,194.397,102,307,107.531,2,0.701,1
Mauritania,Africa,58665,1261.706,6,0.129,3,981,21.098,0,0,0
Barbados,Americas,57733,20089.778,710,247.064,73,327,113.789,2,0.696,0
Belize,Americas,57143,14370.97,109,27.413,0,654,164.475,2,0.503,0
Cabo Verde,Africa,55927,10059.048,20,3.597,2,401,72.124,0,0,0
Syrian Arab Republic,Eastern Mediterranean,55577,317.571,178,1.017,19,3127,17.868,10,0.057,0
Gabon,Africa,47581,2137.767,11,0.494,11,303,13.613,0,0,0
Jersey,Europe,43796,40628.595,2161,2004.713,256,116,107.611,0,0,0
Papua New Guinea,Western Pacific,41533,464.21,0,0,0,639,7.142,0,0,0
Seychelles,Africa,39916,40586.901,181,184.042,33,163,165.74,0,0,0
Curaçao,Americas,39560,24108.28,375,228.529,0,265,161.494,1,0.609,0
Guam,Western Pacific,39371,23327.507,356,210.932,0,340,201.452,2,1.185,0
